user_id,auction_id,category_2,category_1,buy_mount,day,birthday,gender,t_year,t_month,t_day,t_quarter
786295544,41098319944,50014866,50022520,2,2014-09-19,,,2014,9,19,3
532110457,17916191097,50011993,28,1,2013-10-11,,,2013,10,11,4
249013725,21896936223,50012461,50014815,1,2013-10-11,,,2013,10,11,4
917056007,12515996043,50018831,50014815,2,2014-10-23,,,2014,10,23,4
444069173,20487688075,50013636,50008168,1,2014-11-03,,,2014,11,3,4
152298847,41840167463,121394024,50008168,1,2014-11-03,,,2014,11,3,4
513441334,19909384116,50010557,50008168,1,2012-12-12,2011-01-05,1.0,2012,12,12,4
297411659,13540124907,50010542,50008168,1,2012-12-12,,,2012,12,12,4
82830661,19948600790,50013874,28,1,2012-11-01,,,2012,11,1,4
475046636,10368360710,203527,28,1,2012-11-01,,,2012,11,1,4
734147966,15307958346,50018202,38,2,2012-11-01,,,2012,11,1,4
68547330,21162876126,50012365,122650008,1,2012-11-23,,,2012,11,23,4
697081418,15898050723,50013636,50008168,1,2012-11-23,,,2012,11,23,4
377550424,15771663914,50015841,28,1,2012-11-23,2011-06-20,1.0,2012,11,23,4
88313935,22532727492,50013711,50008168,1,2013-10-05,,,2013,10,5,4
25918750,16078389250,50012359,122650008,1,2013-10-05,,,2013,10,5,4
350288528,35086271572,50010544,50008168,1,2013-11-29,,,2013,11,29,4
348090113,17436967558,50009540,50014815,1,2013-11-29,,,2013,11,29,4
1635282280,36153356431,50013207,50008168,1,2013-11-29,,,2013,11,29,4
530850018,22058239899,50024147,28,1,2014-02-10,,,2014,2,10,1
749507708,19171641742,50018860,28,1,2014-02-10,,,2014,2,10,1
201088567,38564176352,50013207,50008168,1,2014-05-02,,,2014,5,2,2
469517728,8232924597,211122,38,6,2014-05-02,,,2014,5,2,2
691367866,17712372914,121434042,50014815,1,2014-08-04,,,2014,8,4,3
77193822,35537441586,50006520,50014815,2,2014-08-04,,,2014,8,4,3
605678021,15502618744,50010555,50008168,1,2013-02-26,,,2013,2,26,1
47702620,26481508332,121412034,50014815,1,2014-09-18,,,2014,9,18,3
763560371,40945285800,50012365,122650008,1,2015-02-01,,,2015,2,1,1
408028533,35838498718,50012442,50008168,1,2014-10-09,,,2014,10,9,4
53566371,27177784760,121394024,50008168,1,2014-10-09,,,2014,10,9,4
69873877,40133707057,50010555,50008168,1,2014-10-17,,,2014,10,17,4
1609185254,42001753405,121394024,50008168,1,2014-12-28,,,2014,12,28,4
1746148145,41181827319,50012365,122650008,1,2014-12-28,,,2014,12,28,4
256475742,39059292616,121452056,50008168,1,2014-07-11,,,2014,7,11,3
